日期,产品,区域,渠道,客户类型,单价,数量,销售额,成本,利润
2026-01-08,便携充电宝,华东,抖音,VIP,57.91,9,521.19,260.59,260.6
2026-01-03,无线蓝牙耳机,华北,淘宝,新客,163.44,18,2941.92,1323.86,1618.06
2026-01-17,无线蓝牙耳机,华北,抖音,VIP,99.31,8,794.48,357.52,436.96
2026-01-14,无线蓝牙耳机,华东,淘宝,VIP,167.76,18,3019.68,1358.86,1660.82
2026-01-25,智能手表,华东,拼多多,老客,541.83,1,541.83,216.73,325.1
2026-01-31,智能手表,华南,抖音,新客,382.36,7,2676.52,1070.61,1605.91
2026-01-20,智能手表,华南,抖音,VIP,328.01,12,3936.12,1574.45,2361.67
2026-01-03,智能手表,华北,淘宝,VIP,459.87,13,5978.31,2391.32,3586.99
2026-01-19,便携充电宝,华东,拼多多,新客,119.84,12,1438.08,719.04,719.04
2026-01-03,无线蓝牙耳机,华东,抖音,老客,161.74,10,1617.4,727.83,889.57
2026-01-06,智能手表,华南,淘宝,新客,435.02,12,5220.24,2088.1,3132.14
2026-01-20,便携充电宝,华北,抖音,VIP,70.36,3,211.08,105.54,105.54
2026-01-13,便携充电宝,华南,拼多多,VIP,68.58,15,1028.7,514.35,514.35
2026-01-27,便携充电宝,华东,抖音,新客,66.57,11,732.27,366.13,366.14
2026-01-07,智能手表,华北,拼多多,老客,419.35,3,1258.05,503.22,754.83
2026-01-29,无线蓝牙耳机,华北,淘宝,新客,161.1,13,2094.3,942.43,1151.87
2026-01-18,智能手表,华南,拼多多,VIP,340.89,18,6136.02,2454.41,3681.61
2026-01-12,智能手表,华东,抖音,VIP,568.35,13,7388.55,2955.42,4433.13
2026-01-28,智能手表,华东,抖音,VIP,326.27,2,652.54,261.02,391.52
2026-01-20,无线蓝牙耳机,华东,淘宝,老客,176.13,14,2465.82,1109.62,1356.2
